Timestamp, Slab Core Average Heat Flux [W/m2], Slab Core Average Temperature [K], Slab Core Average Effective Temperature [C], Slab Core Total Heat Transfer Rate [W], Slab Perimeter Average Heat Flux [W/m2], Slab Perimeter Average Temperature [K], Slab Perimeter Average Effective Temperature [C], Slab Perimeter Total Heat Transfer Rate [W], Slab Average Heat Flux [W/m2], Slab Average Temperature [K], Slab Total Heat Transfer Rate [W]
2015-Jan-01 00:00:00, 0.0055120411188218747, 0.80125287077450558, 0.058731482208905159, 747.06587240967076, 0.31328266198117899, 10.569058187495267, 0.71053674056288174, 242.0764306794126, 0.027119263141255932, 1.4870075329931796, 989.14230308908338
2015-Jan-01 01:00:00, 0.0055120986994998773, 0.80125286486609359, 0.058731470391203536, 747.07367651680977, 0.31319175865331489, 10.569073660505451, 0.71056154264186477, 242.0061888313414, 0.027112934756500569, 1.4870086137915814, 989.0798653481512
2015-Jan-01 02:00:00, 0.0055122313688826486, 0.80125284458614243, 0.058731436495889466, 747.09165765411365, 0.31332200797262882, 10.569050842529856, 0.71052535766542124, 242.10683369345585, 0.027122202343751723, 1.4870069929856606, 989.19849134756953
2015-Jan-01 03:00:00, 0.0055124621104751196, 0.80125280555450296, 0.058731373784102557, 747.12293085497788, 0.31363532788227949, 10.568996336555884, 0.71043869684011551, 242.3489389057564, 0.027144413699179585, 1.4870031300694913, 989.47186976073431
2015-Jan-01 04:00:00, 0.0055128058353680074, 0.8012527449315604, 0.058731277885959013, 747.16951707076225, 0.3140976682994957, 10.568916046513866, 0.71031095852901638, 242.70619365215936, 0.027177192180439694, 1.4869974368918046, 989.87571072292167
2015-Jan-01 05:00:00, 0.0055132708738867458, 0.80125266113327287, 0.058731146362506453, 747.2325453390963, 0.31467952891402939, 10.568815087175061, 0.71015028500997279, 243.15580276818412, 0.02721847444595241, 1.4869902710653671, 990.38834810728042
2015-Jan-01 06:00:00, 0.0055138604586221166, 0.80125255354797487, 0.058730978270330456, 747.31245378411586, 0.31535432101744215, 10.568698068260426, 0.70996401470371484, 243.67722091118566, 0.02726639682505369, 1.4869819556496962, 990.98967469530157
2015-Jan-01 07:00:00, 0.0055145742218587132, 0.80125242225052884, 0.058730773722030949, 747.40919256808854, 0.3161025857259715, 10.568568361862843, 0.70975751669564069, 244.25541202044994, 0.027319592853175621, 1.4869727274542115, 991.66460458853851
2015-Jan-01 08:00:00, 0.0055154091218527048, 0.80125226782554593, 0.058730533614382185, 747.52234943302119, 0.31690096213178642, 10.568430017757645, 0.70953723820374592, 244.8723249049234, 0.027376419635500984, 1.4869628713394012, 992.39467433794459
2015-Jan-01 09:00:00, 0.0055163592657914897, 0.80125209140118481, 0.058730259680299497, 747.65112570577423, 0.31771341827069477, 10.56828928265268, 0.70931312376169386, 245.50011733029012, 0.027434342047152369, 1.4869528269081116, 993.15124303606433
2015-Jan-01 10:00:00, 0.005517415094101012, 0.80125189480479175, 0.058729954728193048, 747.79422574442867, 0.31849625892693528, 10.568153727461906, 0.70909722856014012, 246.10502559637482, 0.027490283550720772, 1.4869431273799794, 993.89925134080352
2015-Jan-01 11:00:00, 0.0055185627216939427, 0.80125168068853847, 0.058729622835209147, 747.94976765538922, 0.3192050698203116, 10.568031041556235, 0.70890180004157211, 246.65273037521615, 0.027541113104606926, 1.4869343150578997, 994.60249803060537
2015-Jan-01 12:00:00, 0.0055197843708293956, 0.80125145244671525, 0.058729269220100778, 748.11534196034836, 0.31980969833128298, 10.567926435403175, 0.70873514312415431, 247.11993245686776, 0.027584697296330157, 1.4869267589018786, 995.23527441721615
2015-Jan-01 13:00:00, 0.0055210598761517042, 0.80125121392845355, 0.058728899801494955, 748.28821557936396, 0.32029567422356381, 10.567842399454676, 0.7086012332861038, 247.4954505549828, 0.02762000148459182, 1.4869206373344974, 995.78366613434673
2015-Jan-01 14:00:00, 0.0055223692756258729, 0.80125096894331149, 0.058728520437578563, 748.46568298924274, 0.32067385809746868, 10.567777034343292, 0.708497056577156, 247.7876767565748, 0.027647769583797607, 1.4869158205516255, 996.25335974581753
2015-Jan-01 15:00:00, 0.0055236959117229076, 0.801250720669614, 0.058728136016176623, 748.64548653784425, 0.3209767450463909, 10.56772469674941, 0.70841363482770747, 248.02172032295283, 0.02767026744349653, 1.4869119153157944, 996.66720686079702
2015-Jan-01 16:00:00, 0.005525029133362936, 0.80125047113910441, 0.058727749662112874, 748.82618264771577, 0.32124984739158269, 10.567677495330003, 0.7083384059352994, 248.23274904862862, 0.027690680380331505, 1.4869083694996132, 997.05893169634442
2015-Jan-01 17:00:00, 0.0055263658592638208, 0.80125022093895615, 0.058727362278781135, 749.00735370210202, 0.32154154913706401, 10.567627048949189, 0.70825802329454712, 248.45814970413414, 0.027712402357521298, 1.4869045952463333, 997.46550340623617
2015-Jan-01 18:00:00, 0.0055277102695059938, 0.80124996927097503, 0.058726972639001569, 749.18956624166663, 0.32188566185426493, 10.567567509113488, 0.70816316845675475, 248.72404880561837, 0.027737811023441802, 1.4869001812167866, 997.91361504728502
2015-Jan-01 19:00:00, 0.0055290716065021055, 0.80124971437148595, 0.05872657803058437, 749.37407292235366, 0.32229317456898798, 10.567496985486629, 0.70805082332301128, 249.03893767566561, 0.027767686462819342, 1.4868949930589206, 998.41301059801924
2015-Jan-01 20:00:00, 0.0055304612849397562, 0.80124945406292181, 0.058726175104515881, 749.56242081599453, 0.32276123515196214, 10.567415983868287, 0.70792178639635728, 249.40061244742466, 0.02780183905351118, 1.486889064258017, 998.96303326341922
2015-Jan-01 21:00:00, 0.0055318902080264114, 0.80124918626588959, 0.058725760662447613, 749.75608767176118, 0.32327590356058772, 10.56732692799423, 0.70777991202703161, 249.79830152014782, 0.027839300264162019, 1.4868825630404983, 999.55438919190897
2015-Jan-01 22:00:00, 0.0055333667579019431, 0.80124890938247761, 0.058725332246240394, 749.95620954987157, 0.32381699451988938, 10.567233319319428, 0.70763077320933476, 250.2164075438655, 0.027878660769037236, 1.4868757337423926, 1000.172617093737
2015-Jan-01 23:00:00, 0.0055348960084090695, 0.80124862244626394, 0.058724888368762607, 750.16347412566336, 0.32436987192429634, 10.567137692594025, 0.70747840674222906, 250.64362106348943, 0.02791889774915024, 1.4868687534187897, 1000.8070951891527
2015-Jan-02 00:00:00, 0.0055364799063307374, 0.80124832508753796, 0.058724428460512457, 750.37814525331839, 0.32492315199606869, 10.567042017196433, 0.70732595027868328, 251.07114572793685, 0.027959213809628288, 1.4868617599873322, 1001.4492909812552
2015-Jan-02 01:00:00, 0.0055381178771081851, 0.80124801741758112, 0.058723952691736414, 750.60014506091363, 0.32546769350785087, 10.566947873175875, 0.70717592199792612, 251.49191802569305, 0.027998966650871236, 1.4868548644797983, 1002.0920630866067
2015-Jan-02 02:00:00, 0.0055398075572457364, 0.80124769988883038, 0.058723461757428277, 750.82915321575899, 0.3259976290473145, 10.566856272918292, 0.70702993643649581, 251.90140415260558, 0.028037742150093491, 1.4868481383920267, 1002.7305573683645
2015-Jan-02 03:00:00, 0.0055415453105443118, 0.80124737319633743, 0.058722956725808781, 751.0646768912992, 0.32650560990049787, 10.566768485994665, 0.70689001733641887, 252.29392568895381, 0.028075021005482606, 1.4868416715012687, 1003.358602580253
